commune,code_commune,code_postal,type_local,surface_m2,pieces,valeur_fonciere,prix_m2,date_mutation
Grandchamps-des-Fontaines,44066,44119,Maison,135.0,4.0,313500.0,2322.22,2023-06-09
Grandchamps-des-Fontaines,44066,44119,Maison,138.0,6.0,430000.0,3115.94,2023-12-18
Grandchamps-des-Fontaines,44066,44119,Maison,144.0,4.0,405000.0,2812.5,2023-06-02
Grandchamps-des-Fontaines,44066,44119,Maison,162.0,7.0,390000.0,2407.41,2023-12-13
Grandchamps-des-Fontaines,44066,44119,Maison,162.0,7.0,390000.0,2407.41,2023-12-13
Grandchamps-des-Fontaines,44066,44119,Maison,168.0,7.0,454000.0,2702.38,2023-07-12
Grandchamps-des-Fontaines,44066,44119,Maison,168.0,7.0,454000.0,2702.38,2023-07-12
Grandchamps-des-Fontaines,44066,44119,Maison,175.0,6.0,444000.0,2537.14,2023-08-17
Grandchamps-des-Fontaines,44066,44119,Maison,175.0,6.0,444000.0,2537.14,2023-08-17
Grandchamps-des-Fontaines,44066,44119,Maison,179.0,4.0,468000.0,2614.53,2023-06-21
Grandchamps-des-Fontaines,44066,44119,Maison,179.0,4.0,468000.0,2614.53,2023-06-21
Grandchamps-des-Fontaines,44066,44119,Maison,187.0,7.0,500000.0,2673.8,2023-12-19
Grandchamps-des-Fontaines,44066,44119,Maison,187.0,7.0,500000.0,2673.8,2023-12-19
Grandchamps-des-Fontaines,44066,44119,Maison,190.0,6.0,425000.0,2236.84,2023-01-03
Grandchamps-des-Fontaines,44066,44119,Maison,190.0,6.0,425000.0,2236.84,2023-01-03
Grandchamps-des-Fontaines,44066,44119,Maison,190.0,6.0,425000.0,2236.84,2023-01-03
Grandchamps-des-Fontaines,44066,44119,Maison,251.0,6.0,480000.0,1912.35,2023-06-12
Nantes,44109,44300,Appartement,9.0,1.0,44000.0,4888.89,2023-05-25
Nantes,44109,44000,Appartement,10.0,1.0,140000.0,14000.0,2023-01-26
Nantes,44109,44300,Appartement,10.0,0.0,94250.0,9425.0,2023-03-14
Nantes,44109,44000,Appartement,10.0,1.0,40000.0,4000.0,2023-03-02
Nantes,44109,44000,Appartement,10.0,1.0,99038.0,9903.8,2023-02-06
Nantes,44109,44000,Appartement,10.0,1.0,64881.15,6488.11,2023-04-12
Nantes,44109,44100,Appartement,10.0,1.0,18500.0,1850.0,2023-08-09
Nantes,44109,44000,Appartement,10.0,1.0,25000.0,2500.0,2023-09-08
Nantes,44109,44100,Appartement,10.0,1.0,92000.0,9200.0,2023-10-06
Nantes,44109,44000,Appartement,11.0,1.0,51500.0,4681.82,2023-03-28
Nantes,44109,44200,Appartement,11.0,1.0,70010.0,6364.55,2023-05-31
Nantes,44109,44000,Appartement,11.0,1.0,15000.0,1363.64,2023-06-22
Nantes,44109,44000,Appartement,11.0,1.0,55800.0,5072.73,2023-07-19
